income,creditscore,_employment_type,region,loan_approved
25000,580,Salaried,Chennai,0
35000,620,Salaried,Chennai,1
45000,700,Salaried,Bangalore,1
30000,590,Self-Employed,Chennai,0
55000,750,Salaried,Coimbatore,1
60000,780,Self-Employed,Bangalore,1
22000,540,Unemployed,Madurai,0
40000,680,Salaried,Chennai,1
28000,600,Self-Employed,Salem,0
75000,800,Salaried,Bangalore,1
50000,720,Self-Employed,Chennai,1
32000,610,Salaried,Madurai,0
65000,770,Salaried,Coimbatore,1
27000,560,Self-Employed,Salem,0
90000,820,Salaried,Chennai,1
38000,650,Salaried,Bangalore,1
24000,550,Unemployed,Madurai,0
48000,710,Self-Employed,Coimbatore,1
31000,580,Salaried,Salem,0
70000,790,Salaried,Bangalore,1
